"address","price","postal_code","residence_type","floor_size","number_of_bathrooms","number_of_bedrooms","street_address","latitude","longitude","year_built","garage","pool","house_type"
"472 Norfolk St, Boston, MA 02126 - Single-Family Home For Sale","799000","2126","SingleFamilyResidence","3007","1 / 2","6","472 Norfolk St","42.280171","-71.088102","1925","0","0.15 acres","single-family-home"
"220 Boylston St #1008, Boston, MA 02116 - Condo For Sale","3290000","2116","SingleFamilyResidence","1807","3","2","220 Boylston St #1008","42.352148","-71.068301","1985","1","community-pool, private-pool","condominium"
"4 Shelby St #1, East Boston, MA 02128 - Condo For Sale","435000","2128","SingleFamilyResidence","705","1","2","4 Shelby St #1","42.381196","-71.027978","1915","0","No","condominium"
"121 Portland St #205, Boston, MA 02114 - Condo For Sale","855999","2114","SingleFamilyResidence","954","1 / 1","1","121 Portland St #205","42.36356","-71.060838","2017","1","community-pool","condominium"
"76 Wareham St #5F, Boston, MA 02118 - Condo For Sale","2375000","2118","SingleFamilyResidence","1664","2","2","76 Wareham St #5F","42.339057","-71.067012","2022","1","No","condominium"
"14 Wellington St #2, Boston, MA 02118 - Condo For Sale","2590000","2118","SingleFamilyResidence","1750","2","3","14 Wellington St #2","42.341531","-71.08205","1880","2","No","condominium"
"Open House: 1:00 PM - 2:30 PM at 14 Wellington St #2","2590000","","v","","","","","","","","","",""
"Open House: 12:00 PM - 2:00 PM at 14 Wellington St #2","2590000","","v","","","","","","","","","",""
"Open House: 10:00 AM - 12:00 PM at 14 Wellington St #2","2590000","","v","","","","","","","","","",""
"257 Emerson St, Boston, MA 02127 - Single-Family Home For Sale","1250000","2127","SingleFamilyResidence","1860","2 / 2","3","257 Emerson St","42.334285","-71.036069","1890","0","0.02 acres","multi-story"
"Open House: 1:30 PM - 2:30 PM at 257 Emerson St","1250000","","v","","","","","","","","","",""
"Open House: 2:30 PM - 3:30 PM at 257 Emerson St","1250000","","v","","","","","","","","","",""
"240 Devonshire St #4305, Boston, MA 02110 - Condo For Sale","1975000","2110","SingleFamilyResidence","1035","1 / 1","1","240 Devonshire St #4305","42.35458","-71.057112","2023","0","community-pool","condominium"
"240 Devonshire St #5709, Boston, MA 02110 - Condo For Sale","3320000","2110","SingleFamilyResidence","1675","2","2","240 Devonshire St #5709","42.35458","-71.057112","2023","1","community-pool","condominium"
"240 Devonshire St #4202, Boston, MA 02110 - Condo For Sale","4800000","2110","SingleFamilyResidence","2212","3","2","240 Devonshire St #4202","42.35458","-71.057112","2023","1","community-pool","condominium"
"18 Wenham St, Boston, MA 02130 - Single-Family Home For Sale","950000","2130","SingleFamilyResidence","2019","2","4","18 Wenham St","42.296043","-71.115361","1910","0","0.10 acres","single-family-home"
"8 Grouse St, Boston, MA 02132 - Single-Family Home For Sale","825000","2132","SingleFamilyResidence","2400","3 / 1","3","8 Grouse St","42.26998","-71.148829","1997","2","0.11 acres","single-family-home"
"2 Avery St #22A, Boston, MA 02111 - Condo For Sale","999000","2111","SingleFamilyResidence","803","1 / 1","1","2 Avery St #22A","42.35287","-71.062998","2000","1","No","condominium"
"1688 Washington St #4, Boston, MA 02118 - Condo For Sale","1695000","2118","SingleFamilyResidence","1681","2","2","1688 Washington St #4","42.337124","-71.07566","1910","0","0.04 acres","condominium"
"300 Pier 4 Blvd #5H, Boston, MA 02210 - Condo For Sale","3300000","2210","SingleFamilyResidence","1456","2 / 1","2","300 Pier 4 Blvd #5H","42.35257","-71.042364","2017","2","No","condominium"
"133 Seaport Blvd #1108, Boston, MA 02210 - Condo For Sale","2799000","2210","SingleFamilyResidence","1495","2 / 1","3","133 Seaport Blvd #1108","42.350508","-71.043615","2018","2","community-pool","condominium"
"197 8th St #902, Boston, MA 02129 - Condo For Sale","1599000","2129","SingleFamilyResidence","1635","2","2","197 8th St #902","42.373408","-71.052191","1989","1","community-pool","condominium"
"19 Dwight St #1, Boston, MA 02118 - Condo For Sale","895000","2118","SingleFamilyResidence","804","2","2","19 Dwight St #1","42.344251","-71.068313","1899","1","0.02 acres","condominium"
"23 Eliot St #1, Boston, MA 02130 - Condo For Sale","3100000","2130","SingleFamilyResidence","4396","4","4","23 Eliot St #1","42.311367","-71.116741","1890","2","0.34 acres","condominium"
"161 Brown Ave, Boston, MA 02131 - Single-Family Home For Sale","625000","2131","SingleFamilyResidence","1547","2","5","161 Brown Ave","42.284824","-71.120419","1900","0","0.08 acres","single-family-home"
"22 Whitman St, Boston, MA 02124 - Single-Family Home For Sale","684900","2124","SingleFamilyResidence","2080","2 / 1","5","22 Whitman St","42.286586","-71.076704","1900","2","0.09 acres","single-family-home"
"1210 Vfw Pkwy #12, Boston, MA 02132 - Condo For Sale","425000","2132","SingleFamilyResidence","1072","2","2","1210 Vfw Pkwy #12","42.278925","-71.170974","1986","0","No","condominium"
"133 Mattapan St, Boston, MA 02126 - Single-Family Home For Sale","699000","2126","SingleFamilyResidence","1787","3 / 1","4","133 Mattapan St","42.280115","-71.097804","1920","3","0.09 acres","single-family-home"
"300 Boylston St #907, Boston, MA 02116 - Condo For Sale","2600000","2116","SingleFamilyResidence","1840","2 / 1","2","300 Boylston St #907","42.351864","-71.069825","1988","1","community-pool","condominium"
"11 Telegraph St #1, Boston, MA 02127 - Condo For Sale","599000","2127","SingleFamilyResidence","858","1 / 1","2","11 Telegraph St #1","42.332809","-71.050361","1896","0","No","condominium"
"560 E 5th St #CH, Boston, MA 02127 - Condo For Sale","1250000","2127","SingleFamilyResidence","1293","2","2","560 E 5th St #CH","42.33406","-71.03803","1900","1","No","condominium"
"18 Ayles Rd, Boston, MA 02136 - Single-Family Home For Sale","519900","2136","SingleFamilyResidence","1305","1 / 1","3","18 Ayles Rd","42.266355","-71.112845","1950","0","0.15 acres","multi-story"
"9 S Russell St #4, Boston, MA 02114 - Condo For Sale","999000","2114","SingleFamilyResidence","944","1","2","9 S Russell St #4","42.360886","-71.066056","1920","0","0.02 acres","condominium"
"98 Chestnut St #4, Boston, MA 02108 - Condo For Sale","2299000","2108","SingleFamilyResidence","1389","2","2","98 Chestnut St #4","42.356682","-71.070832","1880","1","0.03 acres","condominium"
"12 Stoneholm St #319, Boston, MA 02115 - Home For Sale","449000","2115","SingleFamilyResidence","440","1","1","12 Stoneholm St #319","42.345821","-71.088631","2006","0","0.01 acres","home"
"300 Pier 4 Blvd #4A, Boston, MA 02210 - Condo For Sale","2395000","2210","SingleFamilyResidence","1035","1 / 1","1","300 Pier 4 Blvd #4A","42.35257","-71.042364","2019","1","No","condominium"
"218 Florence St #D, Boston, MA 02131 - Condo For Sale","414900","2131","SingleFamilyResidence","1074","1 / 1","2","218 Florence St #D","42.286313","-71.119883","1987","0","No","condominium"
"150 Seaport Blvd #5A, Boston, MA 02210 - Condo For Sale","1875000","2210","SingleFamilyResidence","996","1 / 1","1","150 Seaport Blvd #5A","42.350754","-71.042766","2022","0","community-pool","condominium"
"70-72 Northampton #206, Boston, MA 02118 - Condo For Sale","799000","2118","SingleFamilyResidence","1009","1","1","70-72 Northampton #206","42.334731","-71.076303","1899","1","No","condominium"
"51 Walk Hill St #3, Boston, MA 02130 - Condo For Sale","720000","2130","SingleFamilyResidence","1065","2","2","51 Walk Hill St #3","42.29407","-71.114843","1910","0","No","condominium"
"Open House: 12:00 PM - 1:30 PM at 51 Walk Hill St #3","720000","","v","","","","","","","","","",""
"Open House: 12:00 PM - 1:30 PM at 51 Walk Hill St #3","720000","","v","","","","","","","","","",""
